"module name","licenses","repository","licenseUrl","parents"
"which@1.3.1","ISC","https://github.com/isaacs/node-which","https://github.com/isaacs/node-which/raw/master/LICENSE","execa:mobile-app"
"which@2.0.2","ISC","https://github.com/isaacs/node-which","https://github.com/isaacs/node-which/raw/master/LICENSE","mobile-app"
"wonka@4.0.15","MIT","https://github.com/kitten/wonka","https://github.com/kitten/wonka/raw/master/LICENSE.md","mobile-app"
"wrap-ansi@6.2.0","MIT","https://github.com/chalk/wrap-ansi","https://github.com/chalk/wrap-ansi/raw/master/license","logkitty:mobile-app"
"wrap-ansi@7.0.0","MIT","https://github.com/chalk/wrap-ansi","https://github.com/chalk/wrap-ansi/raw/master/license","mobile-app"
"wrap-ansi@8.1.0","MIT","https://github.com/chalk/wrap-ansi","https://github.com/chalk/wrap-ansi/raw/master/license","@isaacs/cliui:mobile-app"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy","https://github.com/npm/wrappy/raw/master/LICENSE","mobile-app"
"write-file-atomic@2.4.3","ISC","https://github.com/iarna/write-file-atomic","https://github.com/iarna/write-file-atomic/raw/master/LICENSE","mobile-app"
"ws@6.2.2","MIT","https://github.com/websockets/ws","https://github.com/websockets/ws/raw/master/LICENSE","@react-native/dev-middleware:mobile-app"
"ws@7.5.9","MIT","https://github.com/websockets/ws","https://github.com/websockets/ws/raw/master/LICENSE","metro:mobile-app"
"ws@8.17.0","MIT","https://github.com/websockets/ws","https://github.com/websockets/ws/raw/master/LICENSE","mobile-app"
"xcode@3.0.1","Apache-2.0","github:apache/cordova-node-xcode","github:apache/cordova-node-xcode","mobile-app"
"xdate@0.8.2","UNKNOWN","https://github.com/arshaw/xdate","https://github.com/arshaw/xdate/raw/master/GPL-LICENSE.txt","mobile-app"
"xml2js@0.6.0","MIT","https://github.com/Leonidas-from-XIV/node-xml2js","https://github.com/Leonidas-from-XIV/node-xml2js/raw/master/LICENSE","mobile-app"
"xmlbuilder@11.0.1","MIT","https://github.com/oozcitak/xmlbuilder-js","https://github.com/oozcitak/xmlbuilder-js/raw/master/LICENSE","xml2js:mobile-app"
"xmlbuilder@14.0.0","MIT","https://github.com/oozcitak/xmlbuilder-js","https://github.com/oozcitak/xmlbuilder-js/raw/master/LICENSE","mobile-app"
"xmlbuilder@15.1.1","MIT","https://github.com/oozcitak/xmlbuilder-js","https://github.com/oozcitak/xmlbuilder-js/raw/master/LICENSE","plist:mobile-app"
"xtend@4.0.2","MIT","https://github.com/Raynos/xtend","https://github.com/Raynos/xtend/raw/master/LICENSE","mobile-app"
"y18n@4.0.3","ISC","https://github.com/yargs/y18n","https://github.com/yargs/y18n/raw/master/LICENSE","logkitty:mobile-app"
"y18n@5.0.8","ISC","https://github.com/yargs/y18n","https://github.com/yargs/y18n/raw/master/LICENSE","mobile-app"
"yallist@3.1.1","ISC","https://github.com/isaacs/yallist","https://github.com/isaacs/yallist/raw/master/LICENSE","mobile-app"
"yallist@4.0.0","ISC","https://github.com/isaacs/yallist","https://github.com/isaacs/yallist/raw/master/LICENSE","hosted-git-info:mobile-app"
"yaml@2.4.2","ISC","github:eemeli/yaml","github:eemeli/yaml","mobile-app"
"yargs-parser@18.1.3","ISC","https://github.com/yargs/yargs-parser","https://github.com/yargs/yargs-parser/raw/master/LICENSE.txt","logkitty:mobile-app"
"yargs-parser@20.2.9","ISC","https://github.com/yargs/yargs-parser","https://github.com/yargs/yargs-parser/raw/master/LICENSE.txt","react-native-vector-icons:mobile-app"
"yargs-parser@21.1.1","ISC","https://github.com/yargs/yargs-parser","https://github.com/yargs/yargs-parser/raw/master/LICENSE.txt","mobile-app"
"yargs@15.4.1","MIT","https://github.com/yargs/yargs","https://github.com/yargs/yargs/raw/master/LICENSE","logkitty:mobile-app"
"yargs@16.2.0","MIT","https://github.com/yargs/yargs","https://github.com/yargs/yargs/raw/master/LICENSE","react-native-vector-icons:mobile-app"
